# Logfile created on 2025-11-10 12:06:47 +0900 by logger.rb/v1.5.3
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : norcx_m2sub has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : norcx_m3sub has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : norcx_m4sub has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : norcx_m5sub has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : norcx_tm1sub has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : norcx_tm2sub has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : snsbotvia_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : snstopvia_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : deepvia_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : fgetch_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : ctrgat_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : fgimp_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : emwihv_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : lbe_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : alcustop_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : nometfiller_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : prboundary_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : exchange0_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : exchange0_pin has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : exchange0_text has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : exchange1_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : exchange1_pin has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : exchange1_text has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : exchange2_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : exchange2_pin has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : exchange2_text has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : exchange3_drw has 0 polygons
